6125;Los dos hermanos;1
6137-56;Los caciques;20
6180-97;Rigo es amor;18
6198-15;Memoria de un visitador medico - Sexólogo;18
6216-33;El gran triunfo;18
6234-51;Las 7 cucas;18
6252-69;Huevos rancheros;18
6270-88;Chile picante o sexo mexicano;18
6289-07;Los chamos;18
6308-27;Una sota y un caballo;20
6346-63;Mas vale pájaro en mano;18
6364-79;Reto a la vida;16
6384-89;Duro y parejo - La casita del pecado-;6
6390-03;Duro y parejo - La casita del pecado-;14
6404-23;Batalla;20
6424-41;Ninja mexicano;18
6442-59;La justicia tiene 12 años;18
6460-77;La montaña del diablo;18
6478-13;Intriga contra México - Reto al destino;36
6523-31;Una vez un hombre;9
6532-75;Una vez un hombre;44
6582;Campeche-Veracruz-Tabasco -Riqueza Marítima Pesca-;1
7201;Rescate  TR.;1
7202-14;Atoragon;13
7215-26;Regreso de los violentos;12
7227;Regreso de los violentos TR.;1
7228-37;Judo saga;10
7238;Judo saga TR.;1
7239-48;La adolecente;10
7249;La adolecente TR.;1
7250-61;Donde está el ladrón;12
7262;Donde está el ladrón TR.;1
7263-72;Fiebre italiana;10
7273-82;Fin de la inocencia;10
7283;Fin de la inocencia TR.;1
7284-92;La profesora libertina;9
7293;La profesora libertina TR.;1
7294-02;Roma violenta;9
7303;Roma violenta TR.;1
7304-11;El pequeño rey del Judo;8
7312-21;Su misión era morir;10
7322;Su misión era morir TR.;1
7323-34;La niñera;12
7335;La niñera TR.;1
7336-49;Hombre nuclear;14
7350;Hombre nuclear TR.;1
7351-58;El espadachin;8
7359-69;Muerte de la fiera;11
7370;Muerte de la fiera TR.;1
7371;Novia del diablo TR.;1
7372-81;Novia del diablo;10
7382-92;Caballo salvaje;11
7393;Caballo salvaje TR.;1
7394-7402;El ataque de el dragon;9
7403-12;Tres vs. El mundo;10
7413;Tres vs. El mundo Trailer;1
7414-25;Rica;12
7426-37;Los fabulosos veinte;12
7438;Los fabulosos veinte Trailer;1
7439-46;La ingenua;8
7447-56;Horca;10
7457-69;Locuras del sexo;12
7470;Locuras del sexo Trailer;1
7471-81;Drum;11
7482-91;Pista sangrienta;10
7492;Pista sangrienta TRAILER;1
7493-04;Agresión;10
7505-13;B. del amor;9
7514-23;Sexymeron;10
7524;Sexymeron Trailer;1
7525-34;Pequeño Burdel;10
7535-44;El moustros del lago;10
7545;El moustros del lago Trailer;1
7546-55;Erotikon;10
7556;Erotikon Trailer;1
7557-66;Panico;10
7567;Panico Trailer;1
7568-79;Guerra de los mounstros;12
7580;Guerra de los mounstros Trailer;1
7581-90;Lo que el o este se llevo;10
7591;Lo que el o este se llevo Trailer;1
7592-00;Experimentos;9
7601;Experimentos Trailer;1
7602-11;Reto a muerte;10
7612-22;Ghidorah;11
7623-32;Vuelo mortal;10
7633-41;Lunch wagon (Salchica caliente);9
7642;Lunch wagon (Salchica caliente) Trailer;1
7643;Lunch wagon (Salchica caliente);1
7644-55;Historia de alaska;12
7656;Historia de alaska Trailer;1
7657-68;El ambicioso;12
7669-77;Perversion;9
7678;Perversion Trailer;1
7679-86;Asesino de shangai;8
7687-95;Kilma reina de la amazonas;9
7696;Kilma reina de la amazonas Trailer;1
7697-06;Loca historia de amor;10
7707-16;El sable roto;10
7711-26;El ultimo dia del fin del mundo ;10
7727;El ultimo dia del fin del mundo  Trailer;1
7728-41;Los seductores;14
7742-51;Espadachin ciego;10
7752;Espadachin ciego Trailer;1
7753-65;Piloto de caza cero;13
7766;Piloto de caza cero Trailer;1
7767-76;En Dios confiamos;10
7777;En Dios confiamos Trailer;1
7778-87;Maquina musical;10
7788-97;Asesinos de policias;10
7798-09;Tony Arzenta;12
7810-19;Inseminoid;10
7820;Inseminoid Trailer;1
7821-30;Nacidas para luchar;10
7831;Nacidas para luchar Trailer;1
7831-41;Amor mio;10
7842-53;Venganza de los gladiadores;12
7854;Venganza de los gladiadores TR.;1
7855;Hombres a matar TR.;1
7856;Mister Karate TR.;1
7857;Los taxistas se divierten;1
7858;Vuelo mortal TR.;1
7859;Pirochka;1
7860;Gatitos graciosos;1
7861;Amor fingido ;1
7862;Jalisco;1
7864;Durango;1
7865;La agresión;1
7869;Patrulla pacífico;1
8029-35;el mundo este día;7
8036;Publicidad para la cámara fotográfica FT-2;1
8037;Publicidad para la cámara fotográfica Zorki-6;1
8038;Publicidad para las cámaras fotográficas;1
8039;Publicidad para la cámara fotográfica Leningrad;1
8040;Publicidad para la cámara fotográfica Zinith;1
8041;Publicidad para la cámara fotográfica Kiev-4;1
8042-43;El arcoiris Uzbeko;2
8044;Por la unión soviética;1
8045;El debut de los jóvenes;1
8046;El sol, el mar y 100 fantasías;1
8047;La visita del Ybrezhnev a Francia;1
8048;La visita del Ybrezhnev a la R.F.A.;1
8049;La visita del Ybrezhnev;1
8050;La visita del Ybrezhnev a la R.F.A.;1
8051-52;La salud de ustedes;2
8053;De quién son las piñas del bosque;1
8054-62;Deporte, deporte, deporte;9
8063-72;Melodías del barrio Veriski;10
8073-82;Moscú mi amor;10
8083-92;Los voluntarios;10
8093-00;La lámpara de Aladino;8
8101-08;Maestros del balet ruso;8
8109-20;Dauria estudios Lenfilm;12
8121-23;Epopeya de los años de fuga TR.;3
8124-25;Las llaves de la vida;2
8126;Apartamento moderno;1
8127-32;La tierra que quiero;6
8133-38;La tierra que quiero;6
8139-40;Con el mapa de la URSS;2
8141-43;Con el mapa de la URSS;3
8144;Producción en cilindro;1
8145-46;Platica con el corazón;2
8147-48;10 minutos en la URSS;2
8149;10 minutos en la URSS - El solecito;1
8150;Por el río Belaia;1
8151-53;Maravillas por Siberia;3
8154;Prometeos del nuevo siglo;1
8155-68;Aquí es nuestra casa;14
8169-70;Viajes con la cámara No. 15;2
8171;Termoeléctricas como base energética de la URSS;1
8172-73;Los biólogos modelan las plantas;2
8174;Quiero saberlo todo;1
8175-84;Con alegría y valor;10
8185-93;Gourmet de la flota norte;9
8194-95;Viajes con la cámara No. 11;2
8196-03;Estas montañas están altas;8
8204-15;El torrente de hierro;12
8216-25;El cuarenta y uno;10
8231;Melodías otoñales 1964;1
8232;Solamente para adultos;1
8233;Por un aporte sobresaliente a la causa de la paz;1
8234;El cuento de Blancanieves;1
8235;El corte del cristal con láser TR.;1
8236;Crónica del monocristal;1
8240;Los cosmonautas en la tierra de Suecia;1
8241-49;El descubrimiento;9
8250-59;El carrilión del Kremlin;10
8260-69;El académico de Askania;10
8270-79;El carruaje verde;10
8280-90;Othello;11
8291-300;La guerra y la paz 3º parte;10
8301-09;La reina de las nieves;9
8310-17;Hermanos bromistas;8
8318-24;Un sobresaliente por el verano;7
8326-36;Pequeño fugitivo;11
8337-44;El encuentro en las montañas;8
8346-54;Muchachos;9
8357-58;El encuentro del rey;2
8360;El encuentro del rey;1
8362-64;El encuentro del rey;3
8365-73;La sombra;9
8374-81 ;El camino hacia la arena;8
8382;Por el progreso;1
8383;Preparacion de los cuadros sindicales en la URSS;1
8384;Bajo la bandera del  intersi;1
8385;Deporte para todos ;1
8386;La fuerza de la sociedad;1
8387;Preparacion de los cuadros sindicales en la URSS;1
8388;El interes de toda la humanidad;1
8389;Hombres de su tiempo;1
8390;Por la union sovietica;1
8391;Por la invasion sovietica;1
8392-93;Hombres de su tiempo;2
8394;El bienestar es preocupacion;1
8395;Los sindicatos de la URSS;1
8396;El anive. De oro de URSS;1
8397;El bienestar es preocupacion;1
8398;El anive. De oro de URSS;1
8399;La fuerza incluyente de la sociedad;1
8401;Los sindicatos sovieticos;1
8402;Salud camaradas Ivanov;1
8404;El trabajo de sidica. Sovieti.;1
8413;Nuestro Nikita Servinovich;1
8414-15;El ejercito sovietico;2
8416;El ejercito sovietico paracaida;1
8417-23;Si quieres ser feliz;7
8424-31;El camino hacia la arena;8
8432-40;Convidado de piedra;9
8441-52;Los dificiles caminos de la paz;12
8453-61;Asunto del corazon;9
8462-72;La actriz sierva;11
8473-80;La suerte;8
8481-89;Una casa de campo;9
8490-96;Que se queden con nosotros;7
8497-504;El beso de chanita;8
8505-16;La guerra y la paz II;12
8517-23;El mes mas caluroso I;7
8524-31;Apreciado niño;8
8532-41;7 novias para el cabo Zbrue;10
8542-51;Asi se forzo el acero II;10
8552-59;Moscu casiopea;8
8560-70;Hotelo;11
8571-76;Concurso ;6
8577-78;Bajo la bandera de octubre;2
8579-80;La juventud en la arera;2
8581-85;10 años en la arena cosmica;5
8586-87;El arcoiris Uzbeko;2
8588-96;Chaikovski;9
8597-98;Los cosmonautas en noruega;2
8599-600;Vania el danes;2
8601;Preocupaciones de una ciudad;1
8602-03;El lago de los cisnes;2
8604;El kremnklin de Rostor;1
8605;Estudio cartapo;1
8606-13;El desfiladero de leyendas;8
8614;La orbita terrenal;1
8615-18;La orbita terrenal Mexico;4
8619;Electro 72 empresas soviet;1
8620;Electro 71 empresas soviet;1
8621;Su socio comercial URSS;1
8622-24;Dauria primera parte;3
8625-30;El lago de los cisnes;6
8631;El reino submarino;1
8632-36;Gueorgui sedev;5
8637;Atencingo cacicazgo y corrupcion;1
8638-39;2 pistolas gemelas;2
8640-48;Fue amigo para extraños;9
8649-57;El vicedirector;9
8658-65;Rusian y Ludmila;8
8666-69;Rusian y Ludmila 2da parte;4
8670-71;El taxi de los conflictos;2
8673-75;Por primera vez con la historia;3
8676-77;Procesamiento del petroleo;2
8678;Alzamiento;1
8679-86;El poema de 2 corazones;8
8688;El poema de 2 corazones;1
8689-96;Chaikovski 2da parte;8
8697-02;Los 3 gordinflones;6
